# id	left	top	right	bottom	texture_id
[SPRITES]
# coin
360004	117	31	124	37	30
# 5
360005	127	31	134	37	30
# 6
360006	137	31	144	37	30
# 7
360007	147	31	154	37	30
# 8
360008	157	31	164	37	30
# 9
360009	167	31	174	37	30
# A
360010	177	31	184	38	30
# B
360011	187	31	194	38	30
# C
360012	77	41	84	48	30
# D
360013	87	41	94	48	30
# E
360014	97	41	104	48	30
# F
360015	107	41	114	48	30
# G
360016	117	41	124	48	30
# H
360017	127	41	134	48	30
# I
360018	138	41	141	48	30
# J
360019	147	41	154	48	30
# K
360020	157	41	164	48	30
# L
360021	167	41	174	48	30
# M
360022	177	41	184	48	30
# N
360023	187	41	194	48	30
# O
360024	77	51	84	58	30
# P
360025	87	51	94	58	30
# Q
360026	97	51	104	58	30
# R
360027	107	51	114	58	30
# S
360028	117	51	124	58	30
# T
360029	127	51	134	58	30
# U
360030	137	51	144	58	30
# V
360031	147	51	154	58	30
# W
360032	157	51	164	58	30
# X
360033	167	51	174	58	30
# Y
360034	177	51	184	58	30
# Z
360035	187	51	194	58	30

# Speed
360036	18	172	25	179	30

# Fly
360037	27	172	42	179	30

# Mushroom
360038	188	165	203	180	30

# Flower
360039	212	165	227	180	30

# Star	
360040	236	165	251	180	30

# HUD
369999	0	192	287	239	30

# Score
# 100
360100	61	89	72	97	30
# 200
360200	75	89	86	96	30
# 400
360400	90	89	101	96	30
# 800
360800	105	89	116	96	30
# 1000
361000	120	89	135	97	30
# 2000
362000	138	89	153	96	30
# 4000
364000	157	89	172	96	30
# 8000
368000	176	89	191	96	30
# 1VP
369000	195	89	211	97	30

# Red Koopas
# Walking left
371000	375	376	390	402	10
372000	391	376	406	402	10

# Walking right
373000	375	403	390	429	10
374000	391	403	406	429	10

# Running
375000	407	414	422	429	10
376000	423	414	438	429	10
377000	439	414	454	429	10
378000	455	414	470	429	10

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
# coin
40000	41000	150	42000	150	43000	150	42000	150

# item coin
270000	271000	150	272000	150	273000	150	272000	150

# item red mushroom
290000	291000	100

# item green mushroom
300000	301000	100

# item leaf
# leaf left
310000	311000	100

# leaf right
310001	312000	100

# red fireplant
# pop up left down
320000	321000	150	322000	150

# pop up left up
320001	323000	150	324000	150

# pop up right down
320002	325000	150	326000	150

# pop up right up
320003	327000	150	328000	150

# attack left down
320004	321000	100

# attack left up
320005	323000	100

# attack right down
320006	325000	100

# attack right up
320007	327000	100

# green fireplant
# pop up left down
330000	331000	150	332000	150

# pop up left up
330001	333000	150	334000	150

# pop up right down
330002	335000	150	336000	150

# pop up right up
330003	337000	150	338000	150

# attack left down
330004	331000	100

# attack left up
330005	333000	100

# attack right down
330006	335000	100

# attack right up
330007	337000	100

# fireball
340000	341000	100	342000	100	343000	100	344000	100

# green plant
350000	351000	100	352000	100

# HUD PROPERTIES
# Numbers
360100	360000	100
360200	360001	100
360300	360002	100
360400	360003	100
360500	360004	100
360600	360005	100
360700	360006	100
360800	360007	100
360900	360008	100
361000	360009	100

# Speed
361100	360036	100

# Flyable
361200	360037	100

# Mushroom
361300	360038	100

# Flower
361400	360039	100

# Star
361500	360040	100

# HUD
361600	369999	100

# Red Koopa
# Walking left
370000	371000	100	372000	100

# Walking right
370001	373000	100	374000	100

# Idle
370002	375000	100

# Running
370003	375000	50	376000	50	377000	50	378000	50
